[2016-01-01 11:01:59.112] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:12.214] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:12.415] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:12.664] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:12.814] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:13.164] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:13.364] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:13.664] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:13.964] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:14.164] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:14.314] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:14.464] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:14.664] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2016-01-01 11:02:14.814] [Timer-1] DEBUG net.liuxuan.THanalyzer.serial.ModbusHelper - 获取数值为：[2345, 4822]
[2015-09-01 11:02:31.085] [AWT-EventQueue-0] INFO  net.liuxuan.THanalyzer.THAnalyzer - 停止通讯及记录
[2015-09-01 11:02:32.730] [AWT-EventQueue-0] DEBUG net.liuxuan.THanalyzer.utils.ConfUtils - write object success!net.liuxuan.THanalyzer.conf.Parameters
